Symbol	Description
AKRN	Jsc Acron
ALAG	Amundi ETF
ALAI	Aberdeen Latin American Income Fund Limi
ALAU	Amundi Investment Solutions
ALBA	Alba Mineral Resources Plc
ALBH	Aluminium Bahrain B.S.C.
ALD	Aldermore Group Plc
ALF	Alternative Liquidity Fu
ALLG	All Leisure Group Plc
ALM	Allied Minds Plc
ALO	Alecto Minerals Plc
ALP1	Alpha Plus Holdings Plc
ALP2	Alpha Plus Holdings Plc
ALPH	Alpha Pyrenees Trust Ltd
ALT	Altitude Group Plc
ALU	Alumasc Group Plc
ALUM	ETFS Commodity Securities Limited
ALY	Ashley [Laura] Holdings Plc
AMBR	Ambrian Plc
AMC	Amur Minerals Corporation
AMED	Amedeo Resources Plc
AMER	Amerisur Resources Plc
AMFW	Amec Foster Wheeler Plc
AMO	Amino Technologies Plc
AMP	Amphion Innovations Plc
AMPH	Aggregated Micro Power H
AMS	Advanced Medical Solutions Group Plc
AMYT	Amryt Pharma Plc
AN	ALTERNATIVE NETWORKS ORD GBP0.00125
AN94	Barclays Bank Plc
AN95	Barclays Bank Plc
ANA	All Nippon Airways Co Ld
ANCR	Animalcare Group Plc
ANDEAN40	FTSE Andean 40
ANP	Anpario Plc
ANR	Altona Energy Plc
ANRJ	Amundi Investment Solutions
ANTO	Antofagasta Plc
ANW	Aberdeen New Thai Investment Trust Plc
ANXG	Amundi ETF
ANXU	Amundi Investment Solutions
AO	AO World
AOF	Africa Opportunity Fund Limited
AOFC	Africa Opportunity Fund
AOMD	Ao Mosenergo
AOR	Aortech International Plc
APAX	Apax Global Alpha Limite
APC	Advanced Power Components Plc
APEF	Aberdeen Private Equity Fund Ld
APF	Anglo Pacific Group Plc
APGN	Applegreen Plc
APH	Alliance Pharma Plc
APT	Axa Property Trust Limited
ARBB	Arbuthnot Banking Group Plc
ARC	Arcontech Group Plc
ARDN	Arden Partners Plc
ARG	Argos Resources Limited
ARGO	Argo Group Limited
ARGP	Alpha Returns Group Plc
ARL	Atlantis Resources Limit
ARM	Arm Holdings Plc
ARO	Arricano Real Estate Plc
ARR	Aurora Investment Trust Plc
ARS	Asiamet Resources Limite
ARTA	Artilium Plc
ARTL	Alpha Real Trust Limited
ARW	Arrow Global Group Plc
ASA	ASA Resource Group Plc
ASAT	FTSE Asian Autos & Trucks Index
ASBA	FTSE Asian Banks Index
ASBE	Associated British Engineering Plc
ASBR	FTSE Asian Basic Resources Index
ASC	Asos Plc
ASCH	Aberdeen Smaller Companies High Income T
ASCI	Aberdeen Smaller Companies Income Trust
ASCL	Ascential Plc
ASCM	FTSE Asian Construction & Materials Inde
ASDV	SSGA SPDR ETFS Europe I
ASEAN40	FTSE Asean 40 Index
ASEAN40N	FTSE Asean 40
ASEANAS	FTSE Asean All-Share Ind
ASEANEM	FTSE Asean All-Share Ex
ASEANSTR	FTSE Asean Stars Index
ASECE	Ftse/Athex Capped 20 Index
ASECU	Ftse/Athex 20 Capped Index
ASFS	FTSE Asian Financial Services Index
ASH	Ashley House Plc
ASHC	FTSE Asian Health Care Index
ASHM	Ashmore Group Plc
ASHR	DB X-Trackers
ASIA	SSGA SPDR ETFS Europe I Plc
ASIG	FTSE Asian Industrial Goods & Services I
ASIL	Lyxor International Asse
ASIU	Lyxor International Asse
ASL	Aberforth Smaller Companies Trust Plc
ASPH	FTSE Asian Personal & Household Goods In
ASPL	Aseana Properties Limited
ASPR	FTSE Asian Personal & Household Goods In
ASRE	FTSE Asian Retail Index
AST	Ascent Resources Plc
ASTC	FTSE Asian Telecommunications Index
ASTE	FTSE Asian Technology Index
ASTL	FTSE Asian Travel Leisure & Media Index
ASTO	Assetco Plc
ASUT	FTSE Asian Utilities Index
ASX	FTSE All-Share
ASXDIGEQ	FTSE All Share Digital S
ASXX	FTSE All-Share [Exit]
ASY	Andrews Sykes Group Plc
AT2	Amati Vct 2 Plc
ATAD	Oao Tatneft
ATGOV01	FTSE Austria Government
ATI	Amati Vct Plc
ATK	Atkins [Ws] Plc
ATMA	Atlas Mara Co-Nvest Limi
ATQT	Attraqt Group Plc
ATR	Asian Total Return Inves
ATRF	Ashmore Sicav
ATS	Artemis Alpha Trust Plc
ATSS	Artemis Alpha Trust Plc
ATST	Alliance Trust Plc
ATT	Allianz Technology Trust
ATY	Athelney Trust Plc
ATYM	Atalaya Mining Plc
AUCO	Etfx Fund Company Plc
AUCP	Etfx Fund Company Plc
AUCT	Auctus Growth Plc
AUDP	ETFS Foreign Exchange Limited
AUE	Aureus Mining Inc.
AUEG	Amundi ETF
AUEM	Amundi Investment Solutions
AUG	Augean Plc
AUGB	ETFS Foreign Exchange Limited
AUK	Aukett Fitzroy Robinson Group Plc
AUKT	Aberdeen UK Tracker Trus
AUM	Aurasian Minerals Plc
AUP3	ETFS Foreign Exchange Li
AUR	Aurum Mining Plc
AUTO	Auto Trader Group Plc
AV	Aviva
AV.A	Aviva Plc
AV.B	Aviva Plc
AV20	Aviva Plc
AVA	Avanti Capital Plc
AVAP	Avation Plc
AVCT	Avacta Group Plc
AVG	Avingtrans Plc
AVGR	Avangardco Investments P
AVM	Avocet Mining Plc
AVN	Avanti Communications Group Plc
AVO	Advanced Oncotherapy Plc
AVON	Avon Rubber Plc
AVP	Armstrong Ventures Plc
AVR	Avarae Global Coins Plc
AVS	Avesco Group Plc
AVV	Aveva Group Plc
AW01	FTSE All World
AW02	FTSE All World Ex US
AW03	FTSE All World Ex UK
AW04	FTSE All World Ex Japan
AW05	FTSE All World Ex South
AW06	FTSE FTSE All World Asia
AW07	FTSE All World Asia Paci
AW08	FTSE All World Asia Pac
AW09	FTSE All World Asia Pac
AW10	FTSE All World Greater C
AW11	FTSE All World Europe
AW12	FTSE All World Europe Ex
AW13	FTSE All World Europe Ex
AW14	FTSE All World Eurobloc
AWALEMVN	FTSE Emerging Minimum Va
AWALLEN	FTSE Emerging Net of Tax
AWALLER	FTSE Emerging Net Tax (U
AWAMERS	FTSE Americas Index
AWDEUMVN	FTSE Developed Europe Mi
AWDEURSC	FTSE Developed Europe In
AWDEURSE	FTSE Developed Europe In
AWDEURSG	FTSE Developed Europe In
AWDEURU	FTSE Developed Europe Un
AWDPAC	FTSE Developed Asia Paci
AWDPACXJ	FTSE All-World Devlop Asia Pacific Exclu
AWDPCXJE	FTSE Developed Asia Paci
AWDPCXJG	FTSE Developed Asia Paci
AWDPXJC	FTSE Developed Asia Paci
AWDXNAR	FTSE Developed Ex North
AWDXNAU	FTSE Developed Ex North
AWEBCMVN	FTSE Eurobloc Minimum Va
AWHDY01	FTSE All-World High Divi
AWHDY01C	FTSE All-World High Divi
AWHDY01E	FTSE All-World High Divi
AWHDY01G	FTSE All-World High Divi
AWLDMVN	FTSE All-World Minimum Variance Net Tax Index
AWNAMERS	FTSE All-World North America Index
AWNT01HK	FTSE Japan Net Tax Hkd I
AWNT04	FTSE Developed Net Tax I
AWNT04CH	FTSE Developed Net Tax C
AWNT04EU	FTSE Developed Net Tax E
AWNT04UK	FTSE Developed Net Tax G
AWNT05	FTSE Developed Europe Ex
AWNT05CH	FTSE Developed Europe Ex
AWNT05EU	FTSE Developed Europe Ex
AWNT05UK	FTSE Developed Europe Ex
AWNT06HK	FTSE Developed Europe Ne
AWNT13	FTSE Developed Ex North
AWNT14	FTSE North America Net T
AWNT14CH	FTSE North America Net T
AWNT14EU	FTSE North America Net T
AWNT14UK	FTSE North America Net T
AWPXJANN	FTSE Asia Pacific Ex Jap
AXB	Axis Bank Limited
AXI	Axiom European Financial Debt Limited
AXM	Alexander Mining Plc
AXS	Accsys Technologies Plc
AXX	FTSE Aim All-Share Index
AYM	Anglesey Mining Plc
AZN	Astrazeneca Plc
BA	Bae Systems Plc
BA01	Forth Ports Authority
BA18	Thames Water Utilities F
BA47	City of London Investmen
BA97	Royal Bank of Scotland P
BAB	Babcock International Group Plc
BAC	Bank of America Corporation
BACK	Ishares IV Plc
BACS	Ishares IV Plc
BACT	Bacit Limited
BAF	British & American Investment Trust Plc
BAG	Barr [A.G.] Plc
BAGR	Bagir Group Ltd.
BAR	Eclectic Bar Group Plc
BARC	Barclays Plc
BATS	British American Tobacco Plc
BAUD	Bajaj Holdings & Investm
BAV	Baronsmead Vct 5 Plc
BB50	Barclays Bank Plc
BBA	Bba Aviation Plc
BBC30	FTSE Bbc Global 30 Index
BBEB	Ishares III Plc
BBEM	Multi Units France
BBGI	Bilfinger Berger Global Infrastructure S
BBOX	Tritax Big Box REIT Plc
BBSB	Ishares III Plc
BBSN	Brave Bison Group Plc
BBY	Balfour Beatty Plc
BBYB	Balfour Beatty Plc
BC12	Better Capital Pcc Limit
BC18	Sse Plc
BC41	Prudential Plc
BC62	National Grid Gas Plc
BC87	CANADIAN PACIFIC RAILWAYS 4% PERP CONS DEB STK GBP
BC94	Samsung Electronics Co L
BCA	Bca Marketplace
BCAP	Better Capital Pcc Limited
BCGR	Blue Capital Global Rein
BCN	Bacanora Minerals Ltd
BCRE	Bcre - Brack Capital Rea
BD45	Lewis (John) Partnership
BD56	National Grid Electricit
BD90	LOW & BONAR 5.5% 3RD CUM PRF STK GBP1
BDEV	Barratt Developments Plc
BDI	Bond International Software Plc
BE01	Beazley Plc
BEE	Baring Emerging Europe Plc
BEEP	Blackrock Emerging Europ
BEG	Begbies Traynor Group Plc
BEGOV01	FTSE Belgium Government
BEM	Beowulf Mining Plc
BEZ	Beazley Plc
BFA	Basf Se
BGEO	Bank of Georgia Holdings Plc
BGFD	Baillie Gifford Japan Trust Plc
BGHL	Boussard & Gavaudan Holding Limited
BGHS	Boussard & Gavaudan Holding Limited
BGLF	Blackstone / Gso Loan Fi
BGO	Bango Plc
BGS	Baillie Gifford Shin Nippon Plc
BHGG	Bh Global Limited
BHGU	Bh Global Limited
BHME	Bh Macro Limited
BHMG	Bh Macro Limited
BHMU	Bh Macro Limited
BHRD	BE Heard Group Plc
BHY	Boot [Henry] Plc
BILB	Bilby Plc
BILL	Billing Services Group Limited
BILN	Billington Holdings Plc
BIOG	Biotech Growth Trust [The] Plc
BIOM	Biome Technologies Plc
BISI	Bisichi Mining Plc
BIST	Blackrock Income Strateg
BJU	Brainjuicer Group Plc
BKG	Berkeley Group Holdings [The] Plc
BKIR	Bank of Ireland [Governor & Company of T
BKY	Berkeley Resources Limited
BL23	Scottish Power UK Plc
BLBD	Blom Bank Sal
BLEY	Bailey [C.H.] Plc
BLND	British Land Company Plc
BLNX	Blinkx Plc
BLP	Blue Planet International Financials Inv
BLT	Bhp Billiton Plc
BLTG	Blancco Technology Group Plc
BLU	Blue Star Capital Plc
BLUR	Blur (Group) Plc
BLV	Belvoir Lettings Plc
BLVN	Bowleven Plc
BMD	Baronsmead Vct 3 Plc
BME	B&M European Value Retai
BMK	Benchmark Holdings Plc
BMN	Bushveld Minerals Limited
BMR	Berkeley Mineral Resources Plc
BMS	Braemar Shipping Services Plc
BMT	Braime [T.F. & J.H.] [Holdings] Plc
BMV	Bluebird Merchant Ventures Ltd
BMY	Bloomsbury Publishing Plc
BNC	Banco Santander S.A.
BNK	Bankers Petroleum Limited
BNKR	Bankers Investment Trust Plc
BNR	Blenheim Natural Resources Plc
BNZL	Bunzl Plc
BOD	Botswana Diamonds Plc
BOE	Boeing Co.
BOI	Bank of Ireland [Governor & Company of T
BOIL	Baron Oil Plc
BOK	Booker Group Plc
BON	Bonmarche Holdings Plc
BOO	Boohoo.Com Plc
BOOM	Audioboom Group Plc
BOR	Borders & Southern Petroleum Plc
BOTB	Best of The Best Plc
BOY	Bodycote Plc
BP	Bp - British Petroleum Plc
BP.A	BP Plc
BP.B	BP Plc
BPC	Bahamas Petroleum Company Plc
BPI	British Polythene Industries Plc
BPM	B.P. Marsh & Partners Plc
BQAD	Bank Audi S.A.L.
BQE	Bioquell Plc
BR06	HSBC Bank Plc
BR88	3I Group Plc
BRAM	Brammer Plc
BRBY	Burberry Group Plc
BRCI	Blackrock Commodities Income Investment
BRD	Bluerock Diamonds Plc
BREE	Breedon Aggregates Ld
BREM	British Empire Securities & General Trus
BRFI	Blackrock Frontiers Investment Trust Plc
BRGE	Blackrock Greater Europe Investment Trus
BRGS	Blackrock Greater Europe
BRH	Braveheart Investment Group Plc
BRIC	Ishares II Plc
BRICUL2X	FTSE BRIC 50 2X Daily Su
BRICUL3X	FTSE BRIC 50 3X Daily Le
BRICUS1X	FTSE BRIC 50 Daily Short
BRICUS2X	FTSE BRIC 50 2X Daily Sh
BRICUS3X	FTSE BRIC 50 3X Daily Sh
BRIG	Blackrock Income and Growth Investment T
BRK	Brooks Macdonald Group Plc
BRLA	Blackrock Latin American Investment Trus
BRNA	Blackrock North American
BRND	Boost Issuer Public Limi
BRNT	ETFS Commodity Securities Limited
BRSC	Blackrock Smaller Co Trust Plc
BRSN	Berendsen Plc
BRU1	Bruntwood Investments Pl
BRW	Brewin Dolphin Holdings Plc
BRWM	Blackrock World Mining Trust Plc
BRY	Brady Plc
BRZ	Amundi Investment Solutions
BSC	British Smaller Companies Vct2 Plc
BSD	B.S.D Crown Ltd
BSE	Base Resources Limited
BSIF	Bluefield Solar Income F
BSRT	Baker Steel Resources Trust Limited
BSV	British Smaller Companies Vct Plc
BT.A	Bt Group Plc
BTEM	British Empire Securities & General Trus
BTG	Btg Plc
BULL	ETFS Commodity Securities Limited
BULP	ETFS Commodity Securities Limited
BUPF	Bupa Finance Plc
BUR	Burford Capital Limited
BUR1	Burford Capital Plc
BUR2	Burford Capital Plc
BUT	Brunner Investment Trust Plc
BUYB	Powershares Glbal Funds
BVA	Banco Bilbao Vizcaya Argentaria Sa
BVC	Batm Advanced Communications Ld
BVIC	Britvic Plc
BVM	Belgravium Technologies Plc
BVS	Bovis Homes Group Plc
BVT	Baronsmead Vct 2 Plc
BVXP	Bioventix Plc
BWNG	Brown [N] Group Plc
BWRA	Bristol Water Plc
BWSA	Bristol & West Plc
BWY	Bellway Plc
BXP	Beximco Pharmaceuticals Limited
BYBG	Amundi ETF
BYBU	Amundi ETF
BYG	Big Yellow Group Plc
BYOT	Byotrol Plc
BZM	Bellzone Mining Plc
BZT	Bezant Resources Plc
C21	21St Century Technology
C4XD	C4X Discovery Holdings P
CACX	Lyxor International Asse
CAD	Cadogan Petroleum Plc
CADP	ETFS Foreign Exchange Limited
CAF	China Africa Resources Plc
CAF1	Retail Charity Bonds Plc
CAKE	Patisserie Holdings Plc
CAL	Capital & Regional Plc
CAM	Camellia Plc
CAMB	Cambria Automobiles Plc
CAML	Central Asia Metals Plc
CAPC	Capital & Counties Properties Plc
CAPD	Capital Drilling Limited
CAPE	Ossiam Lux
CAPU	Ossiam Lux
CAR	Carclo Plc
CARB	ETFS Oil Securities Limited
CARD	Card Factory Plc
CARP	ETFS Oil Securities Limited
CARR	Carr's Group Plc
CASE	Go Ucits ETF Solutions P
CASH	Go Ucits ETF Solutions P
CAT	Catco Reinsurance Opportunities Fund Lim
CATC	Catco Reinsurance Opportunities Fund Lim
CATL	ETFS Commodity Securities Limited
CAU	Centaur Media Plc
CAY	Charles Stanley Group Plc
CAZA	Caza Oil & Gas Inc
CB5	Amundi ETF
CBE0	Ishares Vii Plc
CBE3	Ishares Vii Plc
CBE7	Ishares Vii Plc
CBG	Close Brothers Group Plc
CBKD	Commercial International
CBP	Curtis Banks Group Plc
CBQS	The Commercial Bank of Q
CBR1	Ishares Vii Plc
CBU0	Ishares Vii Plc
CBU3	Ishares Vii Plc
CBU7	Ishares Vii Plc
CBUY	Cloudbuy Plc
CC1U	Amundi ETF
CCAP	Charlemagne Capital Limited
CCAU	Ishares Vii Plc
CCC	Computacenter Plc
CCH	Coca-Cola Hbc Ag
CCJI	CC Japan Income & Growth Trust Plc
CCL	Carnival Plc
CCP	Celtic Plc
CCPA	Celtic Plc
CCPC	Celtic Plc
CCPE	Cvc Credit Partners Euro
CCPG	Cvc Credit Partners Euro
CCR	C&C Group Plc
CCSL	Chenavari Capital Soluti
CCT	Character Group Plc
CD6	Amundi ETF
CDFF	Cardiff Property Plc
CDI	Candover Investments Plc
CDIS	SSGA SPDR ETFS Europe II
CDOG	Cdialogues Plc
CE01	Ishares Vii Plc
CE31	Ishares Vii Plc
CE71	Ishares Vii Plc
CE9G	Amundi ETF
CE9U	Amundi ETF
CEA1	Ishares Vii Plc
CECD	Lyxor International Asse
CECL	Lyxor International Asse
CEIR	Compal Electronics Inc
CEMA	CS ETF [Ie] Plc
CEPS	Ceps Plc
CER	Cerillion Plc
CES1	Ishares Vii Plc
CEU	CS ETF [Ie] Plc
CEU1	Ishares Vii Plc
CEUR	Amundi Investment Solutions
CEUS	CS ETF [Ie] Plc
CEY	Centamin Plc
CFHS	Cathay Financial Holding
CFR	Amundi Investment Solutions
CFX	Colefax Group Plc
CFYN	Caffyns Plc
CG1	Amundi ETF
CGB	DB X-Trackers II
CGH	Chaarat Gold Holdings Ltd
CGI	Canadian General Investments Ld
CGNR	Conroy Gold & Natural Resources Plc
CGP	Cogenpower Plc
CGS	Castings Plc
CGT	Capital Gearing Trust Plc
CGW	Chelverton Growth Trust Plc
CH1	Amundi ETF
CH5	Amundi ETF
CH80	FTSE China Index
CHA	Concha Plc
CHAL	Challenger Acquisitions
CHAR	Chariot Oil & Gas Limited
CHE	Ojsc Cherkizovo Group
CHG	Chemring Group Plc
CHGB	ETFS Foreign Exchange Limited
CHH	Churchill China Plc
CHL	Churchill Mining Plc
CHNA	Source CSOP Markets Plc
CHNP	Source CSOP Markets Plc
CHOC	United Cacao Limited Sez
CHOO	Jimmy Choo Plc
CHRT	Cohort Plc
CHT	Constellation Healthcare
CI1	Amundi ETF
CI2U	Amundi ETF
CIC	Conygar Investment Company Plc [The]
CICZ	Conygar Zdp Plc
CID1	Ishares Vii Plc
CIFU	Carador Income Fund Plc
CIHL	Caribbean Investment Holdings Limited
CIN	City of London Group Plc
CIND	CS ETF [Ie] Plc
CINE	Cineworld Group Plc
CIR	Circassia Pharmaceutical
CIRC	Circle Holdings Plc
CITY	Cityfibre Infrastructure Holdings Plc
CIU	Cape Plc
CJ1U	Amundi ETF
CJPU	Ishares Vii Plc
CKN	Clarkson Plc
CKR1	Ishares Vii Plc
CLDN	Caledonia Investments Plc
CLG	Clipper Logistics Plc
CLI	Cls Holdings Plc
CLIG	City of London Investment Group Plc
CLIN	Clinigen Group Plc
CLL	Cello Group Plc
CLLN	Carillion Plc
CLNR	Cluff Natural Resources Plc
CLON	Clontarf Energy Plc
CLP	Clear Leisure Plc
CLS1	Cls Holdings Plc
CLSU	Clearstar Inc.
CLTV	Cellcast Plc
CMB	Cambria Africa Plc
CMB1	Ishares Vii Plc
CMBN	Cambian Group Plc
CMCL	Caledonia Mining Corporation
CMCX	Cmc Markets Plc
CMFP	Etfx Fund Company Plc
CMHY	City Merchants High Yield Trust Limited
CMIB	CS ETF [Ie] Plc
CML	Cml Microsystems Plc
CMS	Communisis Plc
CMU	Amundi Investment Solutions
CMX	Catalyst Media Group Plc
CMX1	Ishares Vii Plc
CMXC	CS ETF [Ie] Plc
CN1	Amundi ETF
CNA	Centrica Plc
CNAA	Multi Units France
CNC	Concurrent Technologies Plc
CNCT	Connect Group Plc
CNDX	CS ETF [Ie] Plc
CNE	Cairn Energy Plc
CNEL	China New Energy Limited
CNG	China Nonferrous Gold Li
CNIC	Centralnic Group Plc
CNKS	Cenkos Securities Plc
CNKY	CS ETF [Ie] Plc
CNMI	Camper & Nicholsons Marina Investments L
CNN	Caledonian Trust Plc
CNR	Condor Gold Plc
CNS	Corero Network Security Plc
CNSD	China Steel Corporation
CNX1	Ishares Vii Plc
CNYA	Ishares IV Plc
COA	Coats Group Plc
COB	Cobham Plc
COCG	UBS Ag
COCO	ETFS Commodity Securities Limited
COD	Compagnie De Saint Gobain Sa
COFF	ETFS Commodity Securities Limited
COG	Cambridge Cognition Hold
COGG	Go Ucits ETF Solutions P
COMF	Etfx Fund Company Plc
COMS	Coms Plc
CON	Connemara Mining Company Plc
COP	Circle Oil Plc
COPA	ETFS Commodity Securities Limited
COPL	Canadian Overseas Petrol
COR	Coretx Holdings Plc
CORE	Go Ucits ETF Solutions P
CORG	Go Ucits ETF Solutions P
CORN	ETFS Commodity Securities Limited
CORP	Ishares Plc
COS	Collagen Solutions Plc
COST	Costain Group Plc
COTN	ETFS Commodity Securities Limited
COUK	Multi Units France
CPG	Compass Group Plc
CPI	Capita Plc
CPJ1	Ishares Vii Plc
CPP	Cppgroup Plc
CPR	Carpetright Plc
CPS	Cpl Resources Plc
CPX	Cap-Xx Limited
CPXJ	CS ETF [Ie] Plc
CRAW	Crawshaw Group Plc
CRBL	Lyxor International Asse
CRBU	Lyxor International Asse
CRC	Circle Property Plc
CRDA	Croda International Plc
CRE	Creston Plc
CRED	Go Ucits ETF Solutions P
CREG	Go Ucits ETF Solutions P
CREI	Custodian REIT Plc
CRGH	Go Ucits ETF Solutions Plc
CRH	CRH Plc
CRL	Creightons Plc
CRN	Cairn Homes Plc
CRND	Central Rand Gold Limited
CRNL	Lyxor International Asse
CRNO	Lyxor International Asse
CRON	Cronin Group Plc
CROS	Crossrider Plc
CRPH	Ishares Vi Plc (The Comp
CRPR	Cropper [James] Plc
CRPS	Ishares Plc
CRPX	Lyxor International Asse
CRRY	Lam Zyfin Global Markets Ucits ETF Plc
CRS	Crystal Amber Fund Limited
CRST	Crest Nicholson Holdings
CRU	Coral Products Plc
CRU1	Ishares Vii Plc
CRUD	ETFS Commodity Securities Limited
CRV	Craven House Capital Plc
CRW	Craneware Plc
CRWN	Crown Place Vct Plc
CRWU	Ossiam Lux
CRX	Cyprotex Plc
CS1	Amundi ETF
CS5	Amundi ETF
CS51	Ishares Vii Plc
CSBR	CS ETF [Ie] Plc
CSCA	CS ETF [Ie] Plc
CSFG	Csf Group Plc
CSG	Sweett Group Plc
CSH2	Lyxor Index Fund
CSHD	Lyxor International Asse
CSIA	Multi Units France
CSIL	Multi Units France
CSJP	CS ETF [Ie] Plc
CSKR	CS ETF [Ie] Plc
CSN	Chesnara Plc
CSP	Countryside Properties Plc
CSP1	Ishares Vii Plc
CSPX	CS ETF [Ie] Plc
CSRT	Consort Medical Plc
CSRU	CS ETF [Ie] Plc
CSSG	Croma Security Solutions Group Plc
CSTP	SSGA SPDR ETFS Europe II
CSUK	CS ETF [Ie] Plc
CSUS	CS ETF [Ie] Plc
CSWG	Amundi ETF
CSWU	Amundi ETF
CSX5	Ishares Vii Plc
CT5	Amundi ETF
CTAG	Cloudtag Inc
CTG	Christie Group Plc
CTH	Caretech Holdings Plc
CTI	Cathay International Holdings Ld
CTO	Clarke [T.] Plc
CTP	Castleton Technology Plc
CTR	Charles Taylor Plc
